Program Name,Program Phone,Program Email,Program Address 1,Program Address 2,Town,Program Zip,EEC Regional Office Address:,Program Contact Name,License First Issue Date,Most Recently Renewed,License Number,Capacity,CCRR Name,CCRR Phone,Program Type
Early Learning Academy,(774) 762-4970,earlylearnacad@gmail.com,831 Mount Pleasant Street,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Ana Manchester,8/20/19,2/20/24,9139224,20,Child Care Works,(508) 999-9930,Large Group
Early Learning Child Care,(508) 996-3774,marjorie.ursini@elccnb.com,322 Maxfield St,,New Bedford,02740-4331,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Marjorie Ursini,10/1/80,11/19/23,9129614,102,Child Care Works,(508) 999-9930,Large Group
Eco Kids Learning Center,(508) 990-9940,soniaarruda1981@gmail.com,8 Webster Avenue,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Sonia Arruda,9/8/13,4/10/23,9116722,49,Child Care Works,(508) 999-9930,Large Group
"Egan, Sara",(508) 274-7803,saragegan@comcast.net,45 Kerrywood Drive,,East Falmouth,02536-5151,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/1/18,11/1/24,9162037,8,Child Care Network,(508) 778-9470,Family Child Care
Enriched Learning Academy,(508) 243-2368,info@enrichedacademies.com,290 Route 130,,Sandwich,2563,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Nichole Rich-Byrne,9/22/24,3/22/25,9166760,36,Child Care Network,(508) 778-9470,Large Group
"EVANGELISTA LIMA PAIVA, FABIANE",(774) 368-2215,fabianepaiva1509@gmail.com,1057 phinney's ln,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/23/21,8/23/24,9150560,10,Child Care Network,(508) 778-9470,Family Child Care
Fair Acres Country Day School,(508) 420-3288,grace@fairacrescapecod.com,35 Fair Acres Drive,,Marstons Mills,02648-1292,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Grace Willard,9/1/88,4/23/23,9117792,89,Child Care Network,(508) 778-9470,Large Group
"Farias De Oliveira AG, Wanessa",(774) 503-2175,nezza.farias@gmail.com,5 Sylvan Dr.,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/16/20,11/16/23,9136247,10,Child Care Network,(508) 778-9470,Family Child Care
Fern and Feather Preschool,(508) 627-4850,jkirkland@massaudubon.org,100 Felix Neck Drive,,Edgartown,2539,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Josey Kirkland,7/16/19,1/16/24,9137356,13,Child Care Network,(508) 778-9470,Large Group
"FERREIRA DA FONSECA, RAFAELA DE ARAUJO",(508) 280-1803,rafaela_aff@hotmail.com,313 Castlewood Circle,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/12/15,4/12/24,9144786,10,Child Care Network,(508) 778-9470,Family Child Care
"Ferreira do Carmo Agui, Holianda",(774) 552-9629,holiandacarmo@gmail.com,16 Oak Neck Rd,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/11/22,9/11/22,9102800,8,Child Care Network,(508) 778-9470,Family Child Care
"Ferreira Melo, Brenda",(774) 470-7374,brendafmelousa@gmail.com,19 Carleton Drive,,Mashpee,2649,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/2/19,10/2/22,9104689,10,Child Care Network,(508) 778-9470,Family Child Care
"Ferreira Sousa, Marilia de oliveira",(774) 287-7315,mariliasereia@hotmail.com,882 bumps river rd,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/5/12,8/25/22,9104740,10,Child Care Network,(508) 778-9470,Family Child Care
First Light Child Development Center,(508) 693-0660,vineyardpreschool@yahoo.com,66 William Street,,Vineyard Haven,02568-,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Elizabeth Bonifacio,5/24/05,3/25/24,9137658,16,Child Care Network,(508) 778-9470,Large Group
"Fitzgerald, Courtney",(508) 560-4271,courtneynigrofitzgerald@gmail.com,57 Central Avenue,,Vineyard Haven,2568,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/8/22,8/8/22,9105361,6,Child Care Network,(508) 778-9470,Family Child Care
Forestdale School Extended Day,(508) 539-7509,sritchie@sandwich.k12.ma.us,151 Route 130,,Forestdale,2644,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/6/20,8/6/22,9105543,48,Child Care Network,(508) 778-9470,Public School
"Freeman, Christine",(508) 564-4774,misschristinekk@yahoo.com,8  Galleon Drive,,Falmouth,2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/12/16,12/12/22,9110150,10,Child Care Network,(508) 778-9470,Family Child Care
"Frometa De Matos, Luz del Alba",(774) 360-1427,luzdelalba.dematos@gmail.com,347 Orchard St. 1,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/3/23,8/3/23,9118599,6,Child Care Works,(508) 999-9930,Family Child Care
"Funfar, Kristi",(774) 836-6643,kristidawn11@aol.com,50 Old Dock Road,,Falmouth,02540-2164,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/10/12,6/10/24,9144109,8,Child Care Network,(508) 778-9470,Family Child Care
"Furtado, Katie",(508) 916-1027,rkc1999@yahoo.com,6 Century Drive,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/13/14,5/13/23,9122543,6,Child Care Works,(508) 999-9930,Family Child Care
"Galvao, Cleide Goncalves Da Cruz",(508) 241-1908,cleideestudo@gmail.com,360 Bishops Terrace,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/17/15,11/17/24,9159509,10,Child Care Network,(508) 778-9470,Family Child Care
Garden Gate Child Development Center,(508) 264-2478,gardengatecdc@hotmail.com,30 Featherstone Lane,,Oak Bluffs,2557,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Leigh Ann Yuen,9/2/20,3/2/23,9114668,25,Child Care Network,(508) 778-9470,Large Group
"Gendreau, Shelley Lee",(508) 833-1294,shelley@loveandlearningdaycare.com,12 Crescent Hill Road,,East Sandwich,02537-1582,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/19/95,9/19/22,9106022,8,Child Care Network,(508) 778-9470,Family Child Care
"Gomes do Nascimento, Andreia",(508) 815-7195,andreia_nuia@hotmail.com,88 Wagon Lane,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/27/10,7/27/22,9102869,8,Child Care Network,(508) 778-9470,Family Child Care
"Goncalves Cruz, Elidiane",(508) 360-0434,lidianecruz447@gmail.com,146 Lincoln Road,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/5/20,8/5/23,9123204,10,Child Care Network,(508) 778-9470,Family Child Care
"Goncalves, Elisangela Aparecida",(508) 815-9997,elisgoncalves36@gmail.com,22 Old Town Rd,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/9/19,6/9/22,9099220,10,Child Care Network,(508) 778-9470,Family Child Care
"Guadagnino, Cherri-Ann",(774) 836-2532,cherriannstrom@gmail.com,7 Easting Road,,Bourne,2532,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/16/00,8/15/24,9152575,8,Child Care Network,(508) 778-9470,Family Child Care
"Haskins, Karen",(508) 221-7088,midgielou@gmail.com,95 Lovells Lane,,Marstons Mills,02648-1831,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/11/00,4/17/24,9144136,10,Child Care Network,(508) 778-9470,Family Child Care
"Healy, Elizabeth",(508) 693-9072,tizkidz@aol.com,73 Midland Avenue,,Vineyard Haven,02568-6411,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/16/86,7/18/23,9124215,6,Child Care Network,(508) 778-9470,Family Child Care
Heather Ambrose,(508) 916-1822,hambrose823@yahoo.com,305 Earle St,Apt 1,New Bedford,2746,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/13/23,2/13/23,9113485,6,Child Care Works,(508) 999-9930,Family Child Care
"Hernandez, Viry",(781) 330-5641,vmendez18@gmail.com,122 Durfee Street,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/9/19,12/9/22,9108297,10,Child Care Works,(508) 999-9930,Family Child Care
"Hill, Diane",(508) 566-2419,scbhill@comcast.net,27 Grandwood Drive,,Forestdale,02644-1312,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/8/90,6/12/23,9123705,8,Child Care Network,(508) 778-9470,Family Child Care
"Homem, Erica Barbara",(508) 737-5614,erica.homem@aol.com,204 Ansel Howland Rd,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/12/23,4/12/23,9118194,6,Child Care Network,(508) 778-9470,Family Child Care
"Huffam, Billie Jo A.",508-360-3070,2beejo@gmail.com,16 Anthony Drive,,Hyannis,02601-6220,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/20/06,2/20/21,9077919,8,Child Care Network,(508) 778-9470,Family Child Care
"Immelt Whelden, Julie",(508) 221-4958,jimmelt11@aol.com,14 Ennsbrook Drive,,East Falmouth,2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/20/12,2/20/24,9139422,8,Child Care Network,(508) 778-9470,Family Child Care
"Ingram, Heidi",(508) 728-0264,heidaycare@gmail.com,16 Trotting Lane,,Teaticket,02536-5619,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/29/00,2/26/24,9136062,10,Child Care Network,(508) 778-9470,Family Child Care
"Island Children's School, Inc",(508) 693-5815,islandchildren@comcast.net,5 Halcyon Way,(West Tisbury),Vineyard Haven,2575,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Quinn Savard,1/15/90,3/28/23,9118111,39,Child Care Network,(508) 778-9470,Large Group
Islands of Fun Learning Center LLC,(401) 644-9525,kendall@islandsoffun.com,550B Russells Mills Road,,Dartmouth,2748,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kendall Sallar,9/14/22,3/14/25,9167067,58,Child Care Works,(508) 999-9930,Large Group
It Takes A Village Child Care Inc.,(774) 510-7111,itakesavillagecc@gmail.com,527 Slocum Road,,North Dartmouth,2747,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kaitlin Stephenson,8/26/21,2/26/24,9138271,68,Child Care Works,(508) 999-9930,Large Group
It Takes A Village Family Childcare and Preschool,(508) 965-2124,ktilo1@hotmail.com,472 Main St,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Katelin Aiello-Gonzalez,12/2/21,6/2/24,9142371,10,Child Care Works,(508) 999-9930,Small Group
"Jimenez, Carmen",(508) 963-3297,carmenjimenez5@hotmail.com,112 Mount Pleasant Street Apt. 1,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/9/02,5/9/23,9117697,8,Child Care Works,(508) 999-9930,Family Child Care
"Johnson, Mary",(508) 627-3648,mlj-mimi@comcast.net,20 Hye Road,,Edgartown,02539-,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/13/92,4/4/23,9121721,8,Child Care Network,(508) 778-9470,Family Child Care
"Juca Ferreira, Samara",(508) 558-7112,samaraslittleangels@gmail.com,105 Old Westport Road,,Dartmouth,2747,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/24/23,7/24/23,9105655,6,Child Care Works,(508) 999-9930,Family Child Care
KCE Champions LLC @ East Fairhaven,(508) 440-1454,kkubacki@discoverchampions.com,2 New Boston Road,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Amanda Russo,11/1/20,5/1/23,9120580,39,Child Care Works,(508) 999-9930,Large Group
KCE Champions LLC @ Leroy Wood,(508) 440-1454,kkubacki@discoverchampions.com,60 Sconticut Neck Road,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kerri Kubacki,11/1/20,5/1/23,9120413,52,Child Care Works,(508) 999-9930,Large Group
KCE-Champions LLC @ Bourne Intermediate,(508) 530-1928,kgrant@discoverchampions.com,70 Trowbridge Rd,,Bourne,2532,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kaitlin Grant,8/28/23,2/28/24,9141589,39,Child Care Network,(508) 778-9470,Large Group
KCE-Champions LLC @ Bournedale Elementary,(508) 530-1928,kgrant@discoverchampions.com,41 Ernest Valeri Rd,,Bourne,2532,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kaitlin Grant,6/18/23,12/18/23,9138274,39,Child Care Network,(508) 778-9470,Large Group
"Kelley, Alyssa",(508) 728-0890,devine.alyssa@yahoo.com,76 Dickson Drive,,Plymouth,2360,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/5/16,12/5/22,9112486,8,Child Care Network,(508) 778-9470,Family Child Care
Kiddie Kampus,(508) 991-8900,kkampus@hotmail.com,26 Old Westport Rd,,North Dartmouth,02747-2512,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Carly Ross,8/28/90,2/9/25,9165578,113,Child Care Works,(508) 999-9930,Large Group
Kiddie Kampus II,(508) 991-7900,kkampus@hotmail.com,31 Old Westport Road,,North Dartmouth,02747-2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Carly Ross,9/5/96,7/27/23,9127404,209,Child Care Works,(508) 999-9930,Large Group
Kiddie Kollege,(508) 775-1830,ssmith8816@aol.com,154 Bearses Way,,Hyannis,02601-3832,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Susan Smith,3/27/91,1/12/24,9134157,71,Child Care Network,(508) 778-9470,Large Group
"Kids Ink Too, Inc.",(774) 929-6565,mykidsink@hotmail.com,695 Dartmouth St,,Dartmouth,02748-3010,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Courtney Pragana,8/28/08,7/11/23,9124830,120,Child Care Works,(508) 999-9930,Large Group
"Kids Ink, Incorporated",(508) 996-4999,mykidsink1@hotmail.com,728 Dartmouth Street,,South Dartmouth,02748-3227,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Raquel Gonzalez,5/27/04,7/18/23,9121089,80,Child Care Works,(508) 999-9930,Large Group
Kids Klub Afterschool-Quashnet Sch,(508) 539-1416,mbradbury@mashpeema.gov,150 Old Barnstable Rd,,Mashpee,02649-3232,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Mary K. Bradbury,2/19/98,3/29/24,9141421,39,Child Care Network,(508) 778-9470,Large Group
Kids Klub Child Care Center,(508) 539-9361,acunha@mashpeema.gov,501 Great Neck Rd N,,Mashpee,02649-2826,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Ashley Cunha,9/19/87,4/5/23,9117732,49,Child Care Network,(508) 778-9470,Large Group
Kids Klub-KC Coombs School,(508) 539-1416,mbradbury@mashpeema.gov,K C Coombs School,152 Old Barnstable Rd,Mashpee,02649-3232,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Mary K. Bradbury,8/31/93,4/17/24,9141427,59,Child Care Network,(508) 778-9470,Large Group
"Lara-Blanco, Karina",(508) 631-4201,karona89@yahoo.com,1195 Cove Road #2,,New Bedford,2744,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/24/18,7/24/24,9151652,8,Child Care Works,(508) 999-9930,Family Child Care
"Larrabee, Bridget",(508) 325-3069,bill521969@comcast.net,6 Pardon Hill Road,,South Dartmouth,2748,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/15/99,11/15/23,9129162,8,Child Care Works,(508) 999-9930,Family Child Care
Learning House Preschool,(508) 993-3272,learninghousepreschool@yahoo.com,284 Gulf Road,,Dartmouth,2748,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Jessica Garcia,6/2/09,8/15/24,9147547,74,Child Care Works,(508) 999-9930,Large Group
Learning House Preschool,(508) 992-7187,learninghousepreschool@yahoo.com,16 Nicholas Street,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Christine Patacao,8/21/16,8/22/24,9148167,66,Child Care Works,(508) 999-9930,Large Group
Learning House Preschool,(774) 305-4692,learninghousepreschool@yahoo.com,49 Slocum Road,,North Dartmouth,2747,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Christine Patacao,2/17/20,2/17/24,9138001,75,Child Care Works,(508) 999-9930,Large Group
"Leonard, Georgianna",(508) 221-5272,gkk1299@gmail.com,37 WILANN RD,,Mashpee,02649-2715,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/4/24,3/4/24,9136554,6,Child Care Network,(508) 778-9470,Family Child Care
Lighthouse Learning Center of Mattapoisett,(508) 758-4884,sreillyllc2@aol.com,79 North Street,,Mattapoisett,02739-1614,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Melanie Reilly,8/7/03,4/21/24,9140982,70,Child Care Works,(508) 999-9930,Large Group
"Lima, Zenilda",(508) 360-2312,zenilda_lima10@hotmail.com,131 Skating Rink Road,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/9/12,1/9/24,9136842,10,Child Care Network,(508) 778-9470,Family Child Care
Little Explorers LLC,(508) 995-1980,little.explorers18@gmail.com,2763 Acushnet Avenue,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Krystal Stlouis-Correia,7/18/18,1/18/25,9158216,24,Child Care Works,(508) 999-9930,Large Group
Little Kids Inc,(508) 274-3767,taminman30@yahoo.com,590 N Falmouth Hwy,,North Falmouth,02556-0000,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",TAMMY INMAN,12/9/82,3/14/23,9114541,64,Child Care Network,(508) 778-9470,Large Group
Little Learners Childcare,(774) 319-5578,westportlittlelearners@gmail.com,443 Cross Road,,Dartmouth,2747,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Sonya Ustinovich,12/3/24,12/3/24,9156999,30,Child Care Works,(508) 999-9930,Large Group
"Little Learners Preschool, Inc.",(774) 205-2095,mylittlelearner1@gmail.com,302 Quaker Meeting House Road,,East Sandwich,2537,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Leanna Sabatino,8/16/17,2/27/24,9136000,20,Child Care Network,(508) 778-9470,Large Group
Little Milestones Childcare Center,(508) 388-7802,littlemilestonesfalmouth@gmail.com,805 Teaticket Highway,,Teaticket,2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Ginny Hufnagel,11/4/10,1/17/24,9168291,30,Child Care Network,(508) 778-9470,Large Group
Little People's College  - Sassaquin,(508) 998-8982,pd4241acushnet@discoverlpc.com,4241 Acushnet Avenue,,New Bedford,02745-4607,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Meghan Almeida,2/16/94,3/5/25,9167209,153,Child Care Works,(508) 999-9930,Large Group
Little People's College - Bridge St. - Fairhaven,(508) 997-1080,dmayer@littlepeoplescollege.com,185 Bridge Street,,Fairhaven,02719-4717,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Donna Mayer,1/4/93,9/23/24,9149972,149,Child Care Works,(508) 999-9930,Large Group
Little People's College - Church,(508) 998-1978,dir850church@littlepeoples.net,850 Church St,,New Bedford,02745-1431,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kristie Burgo,10/6/81,9/20/23,9130196,292,Child Care Works,(508) 999-9930,Large Group
Little People's College - Dartmouth,(508) 993-8126,dir360dartmouth@littlepeoples.net,360 Dartmouth Street,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Shelley Sullivan,9/3/98,3/13/24,9142410,117,Child Care Works,(508) 999-9930,Large Group
Little People's College - Donald,(508) 997-9092,pd52donald@discoverlpc.com,52 Donald St,,South Dartmouth,02748-1902,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Elizabeth Rebelo,11/22/83,10/30/24,9157722,121,Child Care Works,(508) 999-9930,Large Group
Little People's College - Fairhaven,(508) 997-1733,ebaker@littlepeoplescollege.com,201 Sconticut Neck Rd,,Fairhaven,02719-1623,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Ellen Baker,8/3/80,1/21/24,9133872,73,Child Care Works,(508) 999-9930,Large Group
Little People's College - Mattapoisett,(508) 758-2962,kfernandes@littlepeoplescollege.com,7 Tallman St,,Mattapoisett,02739-1416,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Krystal Fernandes,2/20/80,6/13/23,9128789,67,Child Care Works,(508) 999-9930,Large Group
Little People's College - Rockdale,(508) 996-0910,dir321rockdale@littlepeoples.net,321 Rockdale Ave,,New Bedford,02740-1361,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kimberly Rego,10/3/89,8/23/23,9127838,59,Child Care Works,(508) 999-9930,Large Group
Little People's College - Wareham,(508) 291-7488,areynolds@littlepeoplescollege.com,4 Swan Ln,,Wareham,02571-1543,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kelly Barcellos,7/19/89,4/23/23,9116845,134,Child Care Network,(508) 778-9470,Large Group
Little People's College -Acushnet,(508) 763-4866,kbarcellos@littlepeoplescollege.com,1541 Main Street,,Acushnet,02743-1011,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kelly Barcellos,8/31/94,8/1/23,9124465,42,Child Care Works,(508) 999-9930,Large Group
Little People's College-374,(508) 717-0376,pd374rockdale@discoverlpc.com,374 Rockdale Avenue,,New Bedford,02740-1343,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Jillian Poeira,6/21/07,5/6/24,9145885,186,Child Care Works,(508) 999-9930,Large Group
Little Stars Learning Center,(774) 363-7827,danielle.f@littlestarslearningcenter.com,327 Quaker Meeting House Road,,Sandwich,2537,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Sydney Philibin,3/5/23,9/5/23,9129794,92,Child Care Network,(508) 778-9470,Large Group
"Long, Bernadette",(774) 320-5013,lblfaith@aol.com,887 Shawmut Avenue,,New Bedford,02746-1318,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/10/01,1/18/24,9136762,8,Child Care Works,(508) 999-9930,Family Child Care
"Lopes, Denise",(774) 994-1330,deniselopes123@hotmail.com,1786 Falmouth Road,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/1/20,9/1/23,9126399,8,Child Care Network,(508) 778-9470,Family Child Care
"Lopes, Stephanie",(508) 743-5745,stephanielopes@verizon.net,1 Erin Lane,,Bourne,2532,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/21/09,10/21/24,9157343,8,Child Care Network,(508) 778-9470,Family Child Care
"Lumsden, Kelly A.",(508) 274-8347,kelly02536@gmail.com,16 Green Acres Road,,East Falmouth,02536-5111,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/21/09,8/12/24,9147664,8,Child Care Network,(508) 778-9470,Family Child Care
"Luperon, Ana",(917) 415-7399,analuperon@yahoo.com,89 Emma Street,,New Bedford,2744,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/2/07,12/10/22,9107785,10,Child Care Works,(508) 999-9930,Family Child Care
Magic Years,(508) 524-3859,magicyearsfalmouthma@aol.com,222 Trotting Park Rd,,Teaticket,02536-5647,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Megan Leary,7/20/86,4/1/24,9141206,31,Child Care Network,(508) 778-9470,Large Group
Martha's Vineyard Comm Serv Child Ctr,(508) 693-7900,hquinn@mvcommunityservices.org,111 Edgartown Rd,,Vineyard Haven,02568-5601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Heather Quinn,9/22/88,4/24/24,9143381,65,Child Care Network,(508) 778-9470,Large Group
Mashpee Creative Childrens Center,(508) 477-6355,mashpeecreative@gmail.com,133 Shellback Place,Route 28,Mashpee,2649,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",JULIE TIMMERMAN,8/23/18,2/23/25,9164037,36,Child Care Network,(508) 778-9470,Large Group
"Massi, Ann",(508) 274-8528,lamassi@comcast.net,52 Dodson Way,,East Falmouth,02536-7705,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/29/90,4/17/23,9116566,8,Child Care Network,(508) 778-9470,Family Child Care
Mattapoisett YMCA Preschool & School Age Program,(508) 758-4203,swinterson@ymcasc.org,38 Reservation Road,,Mattapoisett,02739-2609,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Avery DeBrito,8/31/94,7/31/23,9126666,26,Child Care Works,(508) 999-9930,Large Group
"Melo, Milene",(508) 815-4368,milamelo45@gmail.com,808 Old Stage Road,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/16/07,12/16/22,9112904,8,Child Care Network,(508) 778-9470,Family Child Care
"Menard, Catherine",(508) 995-9374,cmenard0305@gmail.com,32 Morses Lane,,Acushnet,02743-1802,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/10/00,8/26/24,9153589,6,Child Care Works,(508) 999-9930,Family Child Care
"Micklos, Michelle",(508) 304-2063,mmicklos2000@yahoo.com,45 Scenic Drive,,Mashpee,02649-2736,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/5/99,3/5/23,9116127,10,Child Care Network,(508) 778-9470,Family Child Care
"Miller-Jones, Kim",(508) 539-0754,kmjfitness@comcast.net,132 James Circle,,Mashpee,02649-4915,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/25/99,4/28/23,9116231,10,Child Care Network,(508) 778-9470,Family Child Care
"Molina, Veridiana",(203) 781-6512,veridianamolinausa@gmail.com,129 Bacon Rd,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/15/18,7/15/24,9147001,10,Child Care Network,(508) 778-9470,Family Child Care
"Monteiro, Frances",(774) 208-3978,afbjz80@comcast.net,1134 Forbes Street,,New Bedford,02745-3704,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/23/00,8/23/24,9152734,8,Child Care Works,(508) 999-9930,Family Child Care
Montessori Beginnings,(508) 477-7730,k.raymond@montessoribeginnings.com,180 Farmersville Rd,,Sandwich,02563-2640,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kathleen Raymond,8/28/08,7/12/24,9152023,35,Child Care Network,(508) 778-9470,Large Group
"Moreira De Andrade, Jocemara Cristina",(508) 648-6127,cimara.andrade@hotmail.com,48 Carlotta Ave,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/12/20,10/12/23,9130280,8,Child Care Network,(508) 778-9470,Family Child Care
N.B.Public Schools-Parenting Teen,(508) 997-4511,wandrade@newbedfordschools.org,181 Hillman Street c/o Building 1 Room 2019,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/5/20,2/5/24,9138404,21,Child Care Works,(508) 999-9930,Public School
"Neira, Karen",(508) 360-0164,neirakaren@ymail.com,80A Woodbury Avenue,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/20/16,11/20/22,9110706,8,Child Care Network,(508) 778-9470,Family Child Care
